date,EST,TAM,value
01/01/2020,SFE,PM2.5,16
02/01/2020,SFE,PM2.5,3
03/01/2020,SFE,PM2.5,0
04/01/2020,SFE,PM2.5,8
05/01/2020,SFE,PM2.5,16
06/01/2020,SFE,PM2.5,19
07/01/2020,SFE,PM2.5,14
08/01/2020,SFE,PM2.5,25
09/01/2020,SFE,PM2.5,21
10/01/2020,SFE,PM2.5,12
11/01/2020,SFE,PM2.5,10
12/01/2020,SFE,PM2.5,13
13/01/2020,SFE,PM2.5,9
14/01/2020,SFE,PM2.5,7
15/01/2020,SFE,PM2.5,16
16/01/2020,SFE,PM2.5,23
17/01/2020,SFE,PM2.5,15
18/01/2020,SFE,PM2.5,14
19/01/2020,SFE,PM2.5,8
20/01/2020,SFE,PM2.5,4
21/01/2020,SFE,PM2.5,0
22/01/2020,SFE,PM2.5,13
23/01/2020,SFE,PM2.5,17
24/01/2020,SFE,PM2.5,13
25/01/2020,SFE,PM2.5,16
26/01/2020,SFE,PM2.5,5
27/01/2020,SFE,PM2.5,8
28/01/2020,SFE,PM2.5,5
29/01/2020,SFE,PM2.5,11
30/01/2020,SFE,PM2.5,11
31/01/2020,SFE,PM2.5,5
01/02/2020,SFE,PM2.5,4
02/02/2020,SFE,PM2.5,13
03/02/2020,SFE,PM2.5,4
04/02/2020,SFE,PM2.5,6
05/02/2020,SFE,PM2.5,5
06/02/2020,SFE,PM2.5,0
07/02/2020,SFE,PM2.5,9
08/02/2020,SFE,PM2.5,6
09/02/2020,SFE,PM2.5,8
10/02/2020,SFE,PM2.5,11
11/02/2020,SFE,PM2.5,18
12/02/2020,SFE,PM2.5,5
13/02/2020,SFE,PM2.5,15
14/02/2020,SFE,PM2.5,16
15/02/2020,SFE,PM2.5,16
16/02/2020,SFE,PM2.5,8
17/02/2020,SFE,PM2.5,11
18/02/2020,SFE,PM2.5,13
19/02/2020,SFE,PM2.5,19
20/02/2020,SFE,PM2.5,14
21/02/2020,SFE,PM2.5,6
22/02/2020,SFE,PM2.5,18
23/02/2020,SFE,PM2.5,15
24/02/2020,SFE,PM2.5,20
25/02/2020,SFE,PM2.5,7
26/02/2020,SFE,PM2.5,20
27/02/2020,SFE,PM2.5,16
28/02/2020,SFE,PM2.5,20
29/02/2020,SFE,PM2.5,18
01/03/2020,SFE,PM2.5,12
02/03/2020,SFE,PM2.5,12
03/03/2020,SFE,PM2.5,12
04/03/2020,SFE,PM2.5,10
05/03/2020,SFE,PM2.5,14
06/03/2020,SFE,PM2.5,36
07/03/2020,SFE,PM2.5,57
08/03/2020,SFE,PM2.5,14
09/03/2020,SFE,PM2.5,15
10/03/2020,SFE,PM2.5,16
11/03/2020,SFE,PM2.5,16
12/03/2020,SFE,PM2.5,14
13/03/2020,SFE,PM2.5,19
14/03/2020,SFE,PM2.5,9
15/03/2020,SFE,PM2.5,11
16/03/2020,SFE,PM2.5,18
17/03/2020,SFE,PM2.5,17
18/03/2020,SFE,PM2.5,25
19/03/2020,SFE,PM2.5,11
20/03/2020,SFE,PM2.5,12
21/03/2020,SFE,PM2.5,16
22/03/2020,SFE,PM2.5,14
23/03/2020,SFE,PM2.5,8
24/03/2020,SFE,PM2.5,12
25/03/2020,SFE,PM2.5,4
26/03/2020,SFE,PM2.5,11
27/03/2020,SFE,PM2.5,10
28/03/2020,SFE,PM2.5,23
29/03/2020,SFE,PM2.5,19
30/03/2020,SFE,PM2.5,21
31/03/2020,SFE,PM2.5,21
01/04/2020,SFE,PM2.5,24
02/04/2020,SFE,PM2.5,16
03/04/2020,SFE,PM2.5,18
04/04/2020,SFE,PM2.5,14
05/04/2020,SFE,PM2.5,19
06/04/2020,SFE,PM2.5,12
07/04/2020,SFE,PM2.5,10
08/04/2020,SFE,PM2.5,9
09/04/2020,SFE,PM2.5,19
10/04/2020,SFE,PM2.5,0
11/04/2020,SFE,PM2.5,14
12/04/2020,SFE,PM2.5,18
13/04/2020,SFE,PM2.5,11
14/04/2020,SFE,PM2.5,19
15/04/2020,SFE,PM2.5,19
16/04/2020,SFE,PM2.5,27
17/04/2020,SFE,PM2.5,21
18/04/2020,SFE,PM2.5,30
19/04/2020,SFE,PM2.5,29
20/04/2020,SFE,PM2.5,21
21/04/2020,SFE,PM2.5,13
22/04/2020,SFE,PM2.5,18
23/04/2020,SFE,PM2.5,10
24/04/2020,SFE,PM2.5,24
25/04/2020,SFE,PM2.5,20
26/04/2020,SFE,PM2.5,23
27/04/2020,SFE,PM2.5,12
28/04/2020,SFE,PM2.5,26
29/04/2020,SFE,PM2.5,16
30/04/2020,SFE,PM2.5,13
01/05/2020,SFE,PM2.5,10
02/05/2020,SFE,PM2.5,15
03/05/2020,SFE,PM2.5,21
04/05/2020,SFE,PM2.5,14
05/05/2020,SFE,PM2.5,27
06/05/2020,SFE,PM2.5,7
07/05/2020,SFE,PM2.5,14
08/05/2020,SFE,PM2.5,20
09/05/2020,SFE,PM2.5,29
10/05/2020,SFE,PM2.5,18
11/05/2020,SFE,PM2.5,17
12/05/2020,SFE,PM2.5,26
13/05/2020,SFE,PM2.5,25
14/05/2020,SFE,PM2.5,25
15/05/2020,SFE,PM2.5,29
16/05/2020,SFE,PM2.5,16
17/05/2020,SFE,PM2.5,5
18/05/2020,SFE,PM2.5,23
19/05/2020,SFE,PM2.5,12
20/05/2020,SFE,PM2.5,40
21/05/2020,SFE,PM2.5,42
22/05/2020,SFE,PM2.5,29
23/05/2020,SFE,PM2.5,12
24/05/2020,SFE,PM2.5,19
25/05/2020,SFE,PM2.5,13
26/05/2020,SFE,PM2.5,18
27/05/2020,SFE,PM2.5,26
28/05/2020,SFE,PM2.5,27
