Alcaldia,FECHA,Casos
Alvaro Obregon,18/02/2020,0
Alvaro Obregon,19/02/2020,0
Alvaro Obregon,20/02/2020,0
Alvaro Obregon,21/02/2020,0
Alvaro Obregon,22/02/2020,0
Alvaro Obregon,23/02/2020,0
Alvaro Obregon,24/02/2020,0
Alvaro Obregon,25/02/2020,0
Alvaro Obregon,26/02/2020,0
Alvaro Obregon,27/02/2020,0
Alvaro Obregon,28/02/2020,0
Alvaro Obregon,29/02/2020,0
Alvaro Obregon,01/03/2020,0
Alvaro Obregon,02/03/2020,0
Alvaro Obregon,03/03/2020,0
Alvaro Obregon,04/03/2020,0
Alvaro Obregon,05/03/2020,1
Alvaro Obregon,06/03/2020,1
Alvaro Obregon,07/03/2020,0
Alvaro Obregon,08/03/2020,1
Alvaro Obregon,09/03/2020,1
Alvaro Obregon,10/03/2020,0
Alvaro Obregon,11/03/2020,3
Alvaro Obregon,12/03/2020,3
Alvaro Obregon,13/03/2020,5
Alvaro Obregon,14/03/2020,5
Alvaro Obregon,15/03/2020,0
Alvaro Obregon,16/03/2020,8
Alvaro Obregon,17/03/2020,2
Alvaro Obregon,18/03/2020,5
Alvaro Obregon,19/03/2020,4
Alvaro Obregon,20/03/2020,5
Alvaro Obregon,21/03/2020,3
Alvaro Obregon,22/03/2020,1
Alvaro Obregon,23/03/2020,2
Alvaro Obregon,24/03/2020,2
Alvaro Obregon,25/03/2020,2
Alvaro Obregon,26/03/2020,6
Alvaro Obregon,27/03/2020,5
Alvaro Obregon,28/03/2020,4
Alvaro Obregon,29/03/2020,3
Alvaro Obregon,30/03/2020,8
Alvaro Obregon,31/03/2020,4
Alvaro Obregon,01/04/2020,4
Alvaro Obregon,02/04/2020,8
Alvaro Obregon,03/04/2020,8
Alvaro Obregon,04/04/2020,3
Alvaro Obregon,05/04/2020,2
Alvaro Obregon,06/04/2020,9
Alvaro Obregon,07/04/2020,4
Alvaro Obregon,08/04/2020,9
Alvaro Obregon,09/04/2020,16
Alvaro Obregon,10/04/2020,18
Alvaro Obregon,11/04/2020,6
Alvaro Obregon,12/04/2020,5
Alvaro Obregon,13/04/2020,15
Alvaro Obregon,14/04/2020,31
Alvaro Obregon,15/04/2020,24
Alvaro Obregon,16/04/2020,25
Alvaro Obregon,17/04/2020,25
Alvaro Obregon,18/04/2020,12
Alvaro Obregon,19/04/2020,8
Alvaro Obregon,20/04/2020,25
Alvaro Obregon,21/04/2020,28
Alvaro Obregon,22/04/2020,21
Alvaro Obregon,23/04/2020,31
Alvaro Obregon,24/04/2020,35
Alvaro Obregon,25/04/2020,17
Alvaro Obregon,26/04/2020,22
Alvaro Obregon,27/04/2020,45
Alvaro Obregon,28/04/2020,37
Alvaro Obregon,29/04/2020,35
Alvaro Obregon,30/04/2020,31
Alvaro Obregon,01/05/2020,31
Alvaro Obregon,02/05/2020,17
Alvaro Obregon,03/05/2020,19
