Alacaldia,Fecha,Casos
Cuajimalpa de Morelos,18/02/2020,0
Cuajimalpa de Morelos,19/02/2020,0
Cuajimalpa de Morelos,20/02/2020,0
Cuajimalpa de Morelos,21/02/2020,0
Cuajimalpa de Morelos,22/02/2020,0
Cuajimalpa de Morelos,23/02/2020,0
Cuajimalpa de Morelos,24/02/2020,0
Cuajimalpa de Morelos,25/02/2020,0
Cuajimalpa de Morelos,26/02/2020,0
Cuajimalpa de Morelos,27/02/2020,0
Cuajimalpa de Morelos,28/02/2020,0
Cuajimalpa de Morelos,29/02/2020,0
Cuajimalpa de Morelos,01/03/2020,0
Cuajimalpa de Morelos,02/03/2020,0
Cuajimalpa de Morelos,03/03/2020,0
Cuajimalpa de Morelos,04/03/2020,0
Cuajimalpa de Morelos,05/03/2020,0
Cuajimalpa de Morelos,06/03/2020,0
Cuajimalpa de Morelos,07/03/2020,0
Cuajimalpa de Morelos,08/03/2020,0
Cuajimalpa de Morelos,09/03/2020,0
Cuajimalpa de Morelos,10/03/2020,1
Cuajimalpa de Morelos,11/03/2020,2
Cuajimalpa de Morelos,12/03/2020,5
Cuajimalpa de Morelos,13/03/2020,3
Cuajimalpa de Morelos,14/03/2020,7
Cuajimalpa de Morelos,15/03/2020,2
Cuajimalpa de Morelos,16/03/2020,3
Cuajimalpa de Morelos,17/03/2020,11
Cuajimalpa de Morelos,18/03/2020,4
Cuajimalpa de Morelos,19/03/2020,6
Cuajimalpa de Morelos,20/03/2020,4
Cuajimalpa de Morelos,21/03/2020,0
Cuajimalpa de Morelos,22/03/2020,0
Cuajimalpa de Morelos,23/03/2020,0
Cuajimalpa de Morelos,24/03/2020,5
Cuajimalpa de Morelos,25/03/2020,2
Cuajimalpa de Morelos,26/03/2020,3
Cuajimalpa de Morelos,27/03/2020,7
Cuajimalpa de Morelos,28/03/2020,2
Cuajimalpa de Morelos,29/03/2020,1
Cuajimalpa de Morelos,30/03/2020,3
Cuajimalpa de Morelos,31/03/2020,1
Cuajimalpa de Morelos,01/04/2020,1
Cuajimalpa de Morelos,02/04/2020,1
Cuajimalpa de Morelos,03/04/2020,2
Cuajimalpa de Morelos,04/04/2020,0
Cuajimalpa de Morelos,05/04/2020,0
Cuajimalpa de Morelos,06/04/2020,3
Cuajimalpa de Morelos,07/04/2020,3
Cuajimalpa de Morelos,08/04/2020,1
Cuajimalpa de Morelos,09/04/2020,3
Cuajimalpa de Morelos,10/04/2020,6
Cuajimalpa de Morelos,11/04/2020,3
Cuajimalpa de Morelos,12/04/2020,1
Cuajimalpa de Morelos,13/04/2020,6
Cuajimalpa de Morelos,14/04/2020,3
Cuajimalpa de Morelos,15/04/2020,6
Cuajimalpa de Morelos,16/04/2020,4
Cuajimalpa de Morelos,17/04/2020,3
Cuajimalpa de Morelos,18/04/2020,6
Cuajimalpa de Morelos,19/04/2020,4
Cuajimalpa de Morelos,20/04/2020,6
Cuajimalpa de Morelos,21/04/2020,2
Cuajimalpa de Morelos,22/04/2020,7
Cuajimalpa de Morelos,23/04/2020,9
Cuajimalpa de Morelos,24/04/2020,11
Cuajimalpa de Morelos,25/04/2020,2
Cuajimalpa de Morelos,26/04/2020,1
Cuajimalpa de Morelos,27/04/2020,7
Cuajimalpa de Morelos,28/04/2020,6
Cuajimalpa de Morelos,29/04/2020,12
Cuajimalpa de Morelos,30/04/2020,7
Cuajimalpa de Morelos,01/05/2020,9
Cuajimalpa de Morelos,02/05/2020,5
Cuajimalpa de Morelos,03/05/2020,3
Cuajimalpa de Morelos,04/05/2020,6
Cuajimalpa de Morelos,05/05/2020,15
Cuajimalpa de Morelos,06/05/2020,11
Cuajimalpa de Morelos,07/05/2020,10
Cuajimalpa de Morelos,08/05/2020,7
Cuajimalpa de Morelos,09/05/2020,9
