date,EST,TAM,value
01/01/2020,CUA,PM10,51
02/01/2020,CUA,PM10,21
03/01/2020,CUA,PM10,16
04/01/2020,CUA,PM10,45
05/01/2020,CUA,PM10,33
06/01/2020,CUA,PM10,65
07/01/2020,CUA,PM10,43
08/01/2020,CUA,PM10,62
09/01/2020,CUA,PM10,53
10/01/2020,CUA,PM10,34
11/01/2020,CUA,PM10,30
12/01/2020,CUA,PM10,42
13/01/2020,CUA,PM10,44
14/01/2020,CUA,PM10,43
15/01/2020,CUA,PM10,42
16/01/2020,CUA,PM10,56
17/01/2020,CUA,PM10,34
18/01/2020,CUA,PM10,37
19/01/2020,CUA,PM10,16
20/01/2020,CUA,PM10,0
21/01/2020,CUA,PM10,30
22/01/2020,CUA,PM10,27
23/01/2020,CUA,PM10,22
24/01/2020,CUA,PM10,28
25/01/2020,CUA,PM10,29
26/01/2020,CUA,PM10,18
27/01/2020,CUA,PM10,21
28/01/2020,CUA,PM10,19
29/01/2020,CUA,PM10,29
30/01/2020,CUA,PM10,23
31/01/2020,CUA,PM10,16
01/02/2020,CUA,PM10,40
02/02/2020,CUA,PM10,38
03/02/2020,CUA,PM10,28
04/02/2020,CUA,PM10,17
05/02/2020,CUA,PM10,16
06/02/2020,CUA,PM10,15
07/02/2020,CUA,PM10,22
08/02/2020,CUA,PM10,26
09/02/2020,CUA,PM10,21
10/02/2020,CUA,PM10,28
11/02/2020,CUA,PM10,33
12/02/2020,CUA,PM10,26
13/02/2020,CUA,PM10,47
14/02/2020,CUA,PM10,52
15/02/2020,CUA,PM10,42
16/02/2020,CUA,PM10,24
17/02/2020,CUA,PM10,22
18/02/2020,CUA,PM10,40
19/02/2020,CUA,PM10,40
20/02/2020,CUA,PM10,52
21/02/2020,CUA,PM10,40
22/02/2020,CUA,PM10,49
23/02/2020,CUA,PM10,46
24/02/2020,CUA,PM10,43
25/02/2020,CUA,PM10,28
26/02/2020,CUA,PM10,51
27/02/2020,CUA,PM10,54
28/02/2020,CUA,PM10,52
29/02/2020,CUA,PM10,42
01/03/2020,CUA,PM10,38
02/03/2020,CUA,PM10,33
03/03/2020,CUA,PM10,29
04/03/2020,CUA,PM10,32
05/03/2020,CUA,PM10,59
06/03/2020,CUA,PM10,81
07/03/2020,CUA,PM10,64
08/03/2020,CUA,PM10,37
09/03/2020,CUA,PM10,43
10/03/2020,CUA,PM10,57
11/03/2020,CUA,PM10,48
12/03/2020,CUA,PM10,47
13/03/2020,CUA,PM10,44
14/03/2020,CUA,PM10,54
15/03/2020,CUA,PM10,36
16/03/2020,CUA,PM10,40
17/03/2020,CUA,PM10,34
18/03/2020,CUA,PM10,48
19/03/2020,CUA,PM10,37
20/03/2020,CUA,PM10,38
21/03/2020,CUA,PM10,44
22/03/2020,CUA,PM10,34
23/03/2020,CUA,PM10,31
24/03/2020,CUA,PM10,38
25/03/2020,CUA,PM10,41
26/03/2020,CUA,PM10,58
