date,EST,TAM,value
01/01/2020,PED,PM2.5,32
02/01/2020,PED,PM2.5,0
03/01/2020,PED,PM2.5,8
04/01/2020,PED,PM2.5,28
05/01/2020,PED,PM2.5,22
06/01/2020,PED,PM2.5,38
07/01/2020,PED,PM2.5,18
08/01/2020,PED,PM2.5,29
09/01/2020,PED,PM2.5,25
10/01/2020,PED,PM2.5,14
11/01/2020,PED,PM2.5,14
12/01/2020,PED,PM2.5,24
13/01/2020,PED,PM2.5,22
14/01/2020,PED,PM2.5,16
15/01/2020,PED,PM2.5,17
16/01/2020,PED,PM2.5,25
17/01/2020,PED,PM2.5,14
18/01/2020,PED,PM2.5,16
19/01/2020,PED,PM2.5,10
20/01/2020,PED,PM2.5,11
21/01/2020,PED,PM2.5,19
22/01/2020,PED,PM2.5,19
23/01/2020,PED,PM2.5,14
24/01/2020,PED,PM2.5,13
25/01/2020,PED,PM2.5,15
26/01/2020,PED,PM2.5,9
27/01/2020,PED,PM2.5,11
29/01/2020,PED,PM2.5,10
30/01/2020,PED,PM2.5,7
31/01/2020,PED,PM2.5,6
01/02/2020,PED,PM2.5,23
02/02/2020,PED,PM2.5,21
03/02/2020,PED,PM2.5,7
04/02/2020,PED,PM2.5,5
06/02/2020,PED,PM2.5,6
07/02/2020,PED,PM2.5,11
08/02/2020,PED,PM2.5,10
09/02/2020,PED,PM2.5,11
11/02/2020,PED,PM2.5,16
12/02/2020,PED,PM2.5,12
13/02/2020,PED,PM2.5,18
14/02/2020,PED,PM2.5,27
15/02/2020,PED,PM2.5,29
16/02/2020,PED,PM2.5,11
17/02/2020,PED,PM2.5,12
18/02/2020,PED,PM2.5,17
19/02/2020,PED,PM2.5,22
20/02/2020,PED,PM2.5,21
21/02/2020,PED,PM2.5,15
22/02/2020,PED,PM2.5,19
23/02/2020,PED,PM2.5,20
24/02/2020,PED,PM2.5,15
25/02/2020,PED,PM2.5,9
26/02/2020,PED,PM2.5,14
27/02/2020,PED,PM2.5,23
28/02/2020,PED,PM2.5,21
29/02/2020,PED,PM2.5,19
01/03/2020,PED,PM2.5,18
02/03/2020,PED,PM2.5,17
03/03/2020,PED,PM2.5,11
04/03/2020,PED,PM2.5,11
05/03/2020,PED,PM2.5,20
06/03/2020,PED,PM2.5,34
07/03/2020,PED,PM2.5,40
08/03/2020,PED,PM2.5,22
09/03/2020,PED,PM2.5,22
10/03/2020,PED,PM2.5,25
11/03/2020,PED,PM2.5,23
12/03/2020,PED,PM2.5,15
13/03/2020,PED,PM2.5,17
14/03/2020,PED,PM2.5,17
15/03/2020,PED,PM2.5,17
16/03/2020,PED,PM2.5,15
17/03/2020,PED,PM2.5,18
18/03/2020,PED,PM2.5,24
19/03/2020,PED,PM2.5,19
20/03/2020,PED,PM2.5,17
21/03/2020,PED,PM2.5,24
22/03/2020,PED,PM2.5,19
23/03/2020,PED,PM2.5,16
24/03/2020,PED,PM2.5,17
25/03/2020,PED,PM2.5,19
26/03/2020,PED,PM2.5,34
27/03/2020,PED,PM2.5,19
28/03/2020,PED,PM2.5,23
29/03/2020,PED,PM2.5,26
30/03/2020,PED,PM2.5,25
31/03/2020,PED,PM2.5,19
01/04/2020,PED,PM2.5,21
02/04/2020,PED,PM2.5,22
03/04/2020,PED,PM2.5,17
04/04/2020,PED,PM2.5,15
05/04/2020,PED,PM2.5,19
06/04/2020,PED,PM2.5,19
07/04/2020,PED,PM2.5,19
08/04/2020,PED,PM2.5,20
09/04/2020,PED,PM2.5,24
10/04/2020,PED,PM2.5,20
11/04/2020,PED,PM2.5,23
12/04/2020,PED,PM2.5,17
13/04/2020,PED,PM2.5,18
14/04/2020,PED,PM2.5,28
15/04/2020,PED,PM2.5,34
16/04/2020,PED,PM2.5,31
17/04/2020,PED,PM2.5,37
18/04/2020,PED,PM2.5,33
19/04/2020,PED,PM2.5,39
20/04/2020,PED,PM2.5,30
21/04/2020,PED,PM2.5,23
22/04/2020,PED,PM2.5,24
23/04/2020,PED,PM2.5,22
24/04/2020,PED,PM2.5,28
25/04/2020,PED,PM2.5,25
26/04/2020,PED,PM2.5,20
